Drive_bh:6961 income:827.02 outcome:277.72 profit:549.31
Drive_bh:6962 income:212.88 outcome:96.06 profit:116.83
Drive_bh:6963 income:1245.75 outcome:262.16 profit:983.59
Drive_bh:6964 income:990.95 outcome:200.57 profit:790.37
Drive_bh:6965 income:1128.37 outcome:240.13 profit:888.23
Drive_bh:6966 income:849.73 outcome:182.22 profit:667.52
Drive_bh:6967 income:787.43 outcome:155.07 profit:632.37
Drive_bh:6968 income:859.85 outcome:230.01 profit:629.84
Drive_bh:6969 income:658.90 outcome:169.68 profit:489.22
Drive_bh:6970 income:698.20 outcome:151.76 profit:546.44
Drive_bh:6971 income:805.28 outcome:207.80 profit:597.48
Drive_bh:6972 income:18.25 outcome:17.73 profit:0.52
Drive_bh:6973 income:584.24 outcome:149.32 profit:434.92
Drive_bh:6974 income:361.29 outcome:79.43 profit:281.86
Drive_bh:6975 income:1081.35 outcome:282.10 profit:799.25
Drive_bh:6976 income:915.07 outcome:184.34 profit:730.73
Drive_bh:6977 income:1025.29 outcome:192.61 profit:832.68
Drive_bh:6978 income:637.50 outcome:126.11 profit:511.39
Drive_bh:6979 income:1213.05 outcome:332.60 profit:880.45
Drive_bh:6980 income:970.12 outcome:203.84 profit:766.28
Drive_bh:6981 income:974.85 outcome:161.75 profit:813.10
Drive_bh:6982 income:1202.17 outcome:273.17 profit:928.99
Drive_bh:6983 income:1365.91 outcome:284.10 profit:1081.81
Drive_bh:6984 income:1158.38 outcome:282.08 profit:876.30
Drive_bh:6985 income:651.10 outcome:167.75 profit:483.35
Drive_bh:6986 income:825.89 outcome:192.69 profit:633.19
Drive_bh:6987 income:1065.97 outcome:264.42 profit:801.56
Drive_bh:6988 income:961.98 outcome:259.59 profit:702.40
Drive_bh:6989 income:1053.99 outcome:247.13 profit:806.86
Drive_bh:6990 income:831.98 outcome:168.64 profit:663.34
Drive_bh:6991 income:993.28 outcome:209.72 profit:783.56
Drive_bh:6992 income:948.48 outcome:190.14 profit:758.34
Drive_bh:6993 income:540.68 outcome:178.96 profit:361.72
Drive_bh:6994 income:676.99 outcome:178.74 profit:498.25
Drive_bh:6995 income:945.80 outcome:219.70 profit:726.10
Drive_bh:6996 income:1032.87 outcome:189.99 profit:842.87
Drive_bh:6997 income:960.31 outcome:242.18 profit:718.13
Drive_bh:6998 income:928.33 outcome:202.27 profit:726.06
Drive_bh:6999 income:959.93 outcome:213.71 profit:746.22
Drive_bh:7000 income:776.06 outcome:168.95 profit:607.11
Drive_bh:7001 income:870.20 outcome:182.43 profit:687.77
Drive_bh:7002 income:867.89 outcome:218.47 profit:649.42
Drive_bh:7003 income:1157.87 outcome:262.10 profit:895.77
Drive_bh:7004 income:1066.16 outcome:245.52 profit:820.64
Drive_bh:7005 income:759.92 outcome:136.30 profit:623.62
Drive_bh:7006 income:877.07 outcome:216.60 profit:660.47
Drive_bh:7007 income:310.70 outcome:99.45 profit:211.24
Drive_bh:7008 income:813.30 outcome:198.27 profit:615.03
Drive_bh:7009 income:971.99 outcome:220.02 profit:751.96
Drive_bh:7010 income:578.69 outcome:125.33 profit:453.36
Drive_bh:7011 income:1281.27 outcome:338.42 profit:942.85
Drive_bh:7012 income:99.16 outcome:41.41 profit:57.75
Drive_bh:7013 income:310.78 outcome:80.07 profit:230.71
Drive_bh:7014 income:748.43 outcome:189.03 profit:559.40
Drive_bh:7015 income:1160.94 outcome:278.58 profit:882.36
Drive_bh:7016 income:840.82 outcome:184.84 profit:655.98
Drive_bh:7017 income:1077.91 outcome:243.68 profit:834.23
Drive_bh:7018 income:991.68 outcome:270.55 profit:721.13
Drive_bh:7019 income:998.84 outcome:238.42 profit:760.42
Drive_bh:7020 income:829.67 outcome:193.21 profit:636.46
Drive_bh:7021 income:859.13 outcome:238.42 profit:620.71
Drive_bh:7022 income:636.12 outcome:163.61 profit:472.51
Drive_bh:7023 income:1282.31 outcome:245.39 profit:1036.91
Drive_bh:7024 income:671.73 outcome:191.09 profit:480.64
Drive_bh:7025 income:474.19 outcome:132.58 profit:341.61
Drive_bh:7026 income:1320.66 outcome:258.54 profit:1062.13
Drive_bh:7027 income:604.34 outcome:125.67 profit:478.67
Drive_bh:7028 income:625.10 outcome:151.72 profit:473.38
Drive_bh:7029 income:676.23 outcome:169.82 profit:506.41
Drive_bh:7030 income:264.91 outcome:143.59 profit:121.32
Drive_bh:7031 income:796.13 outcome:197.67 profit:598.47
Drive_bh:7032 income:939.23 outcome:180.04 profit:759.18
Drive_bh:7033 income:863.72 outcome:183.92 profit:679.80
Drive_bh:7034 income:95.42 outcome:39.14 profit:56.28
Drive_bh:7035 income:897.26 outcome:172.66 profit:724.60
Drive_bh:7036 income:1126.37 outcome:250.13 profit:876.24
Drive_bh:7037 income:1128.20 outcome:234.45 profit:893.74
Drive_bh:7038 income:799.80 outcome:244.41 profit:555.38
Drive_bh:7039 income:1419.76 outcome:341.98 profit:1077.78
Drive_bh:7040 income:573.10 outcome:140.10 profit:433.00
