  Drive_bh,income,outcome,profit
6961,827.02,277.72,549.31
6962,212.88,96.06,116.83
6963,1245.75,262.16,983.59
6964,990.95,200.57,790.37
6965,1128.37,240.13,888.23
6966,849.73,182.22,667.52
6967,787.43,155.07,632.37
6968,859.85,230.01,629.84
6969,658.9,169.68,489.22
6970,698.2,151.76,546.44
6971,805.28,207.8,597.48
6972,18.25,17.73,0.52
6973,584.24,149.32,434.92
6974,361.29,79.43,281.86
6975,1081.35,282.1,799.25
6976,915.07,184.34,730.73
6977,1025.29,192.61,832.68
6978,637.5,126.11,511.39
6979,1213.05,332.6,880.45
6980,970.12,203.84,766.28
6981,974.85,161.75,813.1
6982,1202.17,273.17,928.99
6983,1365.91,284.1,1081.81
6984,1158.38,282.08,876.3
6985,651.1,167.75,483.35
6986,825.89,192.69,633.19
6987,1065.97,264.42,801.56
6988,961.98,259.59,702.4
6989,1053.99,247.13,806.86
6990,831.98,168.64,663.34
6991,993.28,209.72,783.56
6992,948.48,190.14,758.34
6993,540.68,178.96,361.72
6994,676.99,178.74,498.25
6995,945.8,219.7,726.1
6996,1032.87,189.99,842.87
6997,960.31,242.18,718.13
6998,928.33,202.27,726.06
6999,959.93,213.71,746.22
7000,776.06,168.95,607.11
7001,870.2,182.43,687.77
7002,867.89,218.47,649.42
7003,1157.87,262.1,895.77
7004,1066.16,245.52,820.64
7005,759.92,136.3,623.62
7006,877.07,216.6,660.47
7007,310.7,99.45,211.24
7008,813.3,198.27,615.03
7009,971.99,220.02,751.96
7010,578.69,125.33,453.36
7011,1281.27,338.42,942.85
7012,99.16,41.41,57.75
7013,310.78,80.07,230.71
7014,748.43,189.03,559.4
7015,1160.94,278.58,882.36
7016,840.82,184.84,655.98
7017,1077.91,243.68,834.23
7018,991.68,270.55,721.13
7019,998.84,238.42,760.42
7020,829.67,193.21,636.46
7021,859.13,238.42,620.71
7022,636.12,163.61,472.51
7023,1282.31,245.39,1036.91
7024,671.73,191.09,480.64
7025,474.19,132.58,341.61
