drive_bh,time0,time1,time2,time3
(6961,96.54,769.05,785.76,717.44)
(6962,487.10,1069.80,761.47,759.99)
(6963,855.86,718.49,714.96,775.03)
(6964,176.32,772.74,742.00,850.24)
(6965,508.48,857.97,1065.20,769.40)
(6966,539.67,702.27,619.84,920.29)
(6967,474.07,1081.56,950.14,867.87)
(6968,876.89,805.08,1014.88,912.02)
(6969,554.97,879.88,813.72,888.08)
(6970,525.04,832.54,902.12,846.83)
(6971,872.17,814.63,796.51,855.68)
(6972,663.91,801.93,919.46,758.51)
(6973,554.74,846.95,820.32,946.03)
(6974,823.98,949.40,930.18,860.26)
(6975,825.56,891.06,929.51,832.11)
(6976,909.62,1090.87,844.00,780.64)
(6977,920.27,910.04,813.60,1061.23)
(6978,934.14,837.07,691.05,975.01)
(6979,934.15,1316.93,874.05,853.62)
(6980,973.40,771.78,756.57,771.86)
(6981,800.14,952.89,1003.67,770.79)
(6982,724.57,890.02,735.81,926.07)
(6983,494.29,1148.23,824.50,1034.01)
(6984,839.96,660.44,784.13,806.16)
(6985,405.39,844.92,1112.29,830.13)
(6986,374.32,1092.77,805.28,806.12)
(6987,176.44,922.00,888.99,725.70)
(6988,849.97,170.06,760.47,899.36)
(6989,905.30,767.65,881.94,949.11)
(6990,504.52,755.85,732.76,1017.19)
(6991,880.85,1100.89,1135.44,977.87)
(6992,881.02,823.56,899.97,933.33)
(6993,705.91,870.99,899.53,918.35)
(6994,849.90,901.28,739.13,1057.99)
(6995,849.90,1008.93,924.38,1081.95)
(6996,959.17,855.08,881.17,829.83)
(6997,1027.81,856.08,793.65,1077.90)
(6998,580.25,760.36,985.44,862.81)
(6999,876.03,912.10,377.53,725.88)
(7000,881.06,759.97,874.29,899.73)
(7001,604.45,729.37,899.52,931.34)
(7002,965.90,648.63,758.55,887.96)
(7003,696.34,841.34,931.58,870.29)
(7004,686.63,818.20,879.35,899.44)
(7005,849.91,901.28,972.00,1077.98)
(7006,1065.55,669.86,968.87,847.80)
(7007,723.99,828.56,910.53,979.51)
(7008,891.95,758.69,811.01,937.37)
(7009,835.53,860.91,755.90,840.32)
(7010,849.91,901.28,911.01,905.52)
(7011,636.43,733.93,1150.63,851.39)
(7012,474.10,205.82,24.24,805.26)
(7013,642.42,799.12,787.98,830.23)
(7014,988.64,683.96,770.73,1049.27)
(7015,477.96,909.50,789.66,904.13)
(7016,553.34,947.51,824.56,843.24)
(7017,706.07,850.92,821.73,815.04)
(7018,924.06,816.89,680.29,656.53)
(7019,866.30,861.75,637.44,956.56)
(7020,724.07,625.34,743.30,794.76)
(7021,472.35,768.76,795.79,597.75)
(7022,794.50,949.42,988.39,688.55)
(7023,176.64,812.64,894.09,860.74)
(7024,589.40,990.88,732.52,875.23)
(7025,794.79,978.79,707.15,816.02)
(7026,710.27,827.13,741.16,777.39)
(7027,926.52,819.75,778.48,934.76)
(7028,0.00,705.16,686.01,836.27)
(7029,712.36,672.69,1050.12,830.52)
(7030,0.00,0.00,907.22,872.39)
(7031,533.41,687.94,899.50,874.96)
(7032,737.86,824.03,887.22,802.49)
(7033,524.95,725.64,918.66,845.75)
(7034,790.93,834.21,890.57,914.27)
(7035,705.72,854.78,923.35,1035.93)
(7036,920.26,817.58,775.54,899.87)
(7037,846.84,993.52,813.84,833.84)
(7038,1017.37,848.48,952.97,728.69)
(7039,741.21,588.37,849.03,909.70)
(7040,1017.41,993.51,903.56,927.75)
(7041,735.75,905.15,896.58,776.45)
(7042,893.28,956.04,741.36,1002.40)
(7043,0.00,98.25,841.58,2215.28)
(7044,0.00,836.66,723.55,806.39)
(7045,595.13,887.24,825.24,759.35)
(7046,873.46,786.25,830.46,619.34)
(7047,969.14,648.57,778.06,851.65)
(7048,873.74,687.68,897.96,809.30)
(7049,525.02,846.50,691.41,688.84)
(7050,1017.84,885.94,917.21,1008.84)
(7051,1065.93,912.87,874.51,756.47)
(7052,521.37,932.80,805.17,883.08)
(7053,832.98,1028.13,718.08,796.65)
(7054,176.43,874.41,797.08,807.66)
(7055,737.02,903.58,957.99,853.78)
(7056,845.67,634.87,807.04,815.48)
(7057,347.79,820.54,905.30,833.76)
(7058,833.08,868.16,873.22,1023.03)
(7059,822.14,943.51,850.37,771.06)
(7060,117.94,612.64,864.78,724.62)
(7061,525.00,765.89,1042.52,849.21)
(7062,176.23,892.82,717.60,875.48)
(7063,851.45,935.65,832.16,799.42)
(7064,86.42,621.36,682.49,859.49)
(7065,50.21,811.11,548.24,791.68)
(7066,824.06,787.77,979.67,871.92)
(7067,742.14,863.71,695.06,831.69)
(7068,547.82,881.30,900.56,1002.38)
(7069,990.58,866.88,782.25,953.72)
(7070,712.26,932.99,80.57,863.83)
(7071,302.09,1377.28,0.00,942.29)
(7072,660.83,882.91,922.20,825.30)
(7073,737.72,564.07,813.57,852.28)
(7074,318.05,932.50,1266.11,718.81)
(7075,500.68,887.71,697.30,933.78)
(7076,694.02,839.35,1211.26,792.70)
(7077,835.79,743.95,847.77,640.66)
(7078,755.80,878.83,845.54,817.84)
(7079,673.72,800.84,812.50,989.39)
(7080,907.50,710.60,888.34,841.39)
(7081,749.68,629.00,903.16,770.75)
(7082,0.00,645.98,905.79,812.67)
(7083,922.62,991.64,906.54,872.94)
(7084,84.84,791.53,911.39,935.92)
(7085,686.95,154.03,655.98,704.75)
(7086,855.66,776.56,706.55,882.43)
(7087,664.79,820.64,822.49,870.10)
(7088,845.32,816.20,844.24,741.07)
(7089,695.51,614.56,750.67,805.02)
(7090,777.94,762.14,843.12,822.08)
(7091,580.35,855.61,860.82,1002.36)
(7092,556.39,234.74,889.69,976.34)
(7093,776.47,748.04,710.91,973.39)
(7094,0.00,843.58,957.82,858.81)
(7095,897.28,976.59,816.82,775.08)
(7096,372.06,978.76,881.03,835.87)
(7097,777.37,753.55,890.27,837.00)
(7098,418.65,828.38,0.00,804.96)
(7099,755.35,195.52,500.56,794.41)
(7100,176.62,948.61,771.36,788.90)
(7101,897.71,857.79,792.45,864.20)
(7102,874.84,760.45,907.93,856.27)
(7103,364.08,898.45,882.41,1038.57)
(7104,364.86,727.96,656.77,851.96)
(7105,699.23,828.19,792.47,997.72)
(7106,710.18,797.04,706.55,889.96)
(7107,301.91,890.70,781.77,876.97)
(7108,847.01,829.64,820.37,868.52)
(7109,892.47,875.53,0.00,701.36)
(7110,212.92,678.44,925.60,771.29)
(7111,892.48,648.81,998.94,711.14)
(7112,848.15,731.33,1141.20,1007.85)
(7113,788.81,981.48,1063.06,704.73)
(7114,970.13,731.07,899.50,706.15)
(7115,861.73,885.23,899.52,897.86)
(7116,722.85,972.91,827.08,1060.24)
(7117,718.56,891.98,861.96,827.42)
(7118,314.73,939.65,836.88,934.95)
(7119,386.69,1081.80,913.08,713.77)
(7120,891.58,721.39,723.23,854.57)
(7121,1065.81,854.40,955.98,996.73)
(7122,331.67,893.02,952.94,816.93)
(7123,0.00,129.85,745.68,822.27)
(7124,923.11,732.19,758.40,817.93)
(7125,793.47,889.50,910.17,744.76)
(7126,990.65,733.26,828.10,995.03)
(7127,644.05,661.27,984.66,934.79)
(7128,55.24,1130.61,842.87,828.58)
(7129,804.93,647.12,782.84,731.29)
(7130,639.72,877.05,809.10,472.39)
(7131,849.63,813.74,751.23,853.96)
(7132,579.24,819.88,850.78,784.47)
(7133,751.28,722.35,685.18,760.41)
(7134,832.50,844.98,778.68,908.18)
(7135,553.53,746.63,737.51,868.60)
(7136,692.65,903.19,789.47,795.76)
(7137,896.88,867.24,913.86,886.98)
(7138,1083.78,834.52,1120.54,640.60)
(7139,896.74,932.32,868.15,837.20)
(7140,538.55,828.66,813.73,804.46)
(7141,379.07,829.05,730.74,850.77)
(7142,429.80,702.17,886.12,772.54)
(7143,373.93,129.99,852.42,942.77)
(7144,121.22,703.16,972.79,733.69)
(7145,345.49,849.41,991.76,901.80)
(7146,714.38,961.89,816.01,784.60)
(7147,511.65,593.46,802.42,955.72)
(7148,520.38,704.93,686.67,734.43)
(7149,920.32,821.99,822.73,938.81)
(7150,0.00,761.29,829.26,766.34)
(7151,777.33,355.38,920.81,859.89)
(7152,714.28,858.56,812.56,853.02)
(7153,779.20,1117.57,786.53,952.47)
(7154,904.91,1000.87,1033.28,807.78)
(7155,85.43,0.00,707.65,856.84)
(7156,631.83,883.35,941.90,763.45)
(7157,687.59,957.56,960.54,841.26)
(7158,778.89,893.33,1038.44,854.66)
(7159,575.76,656.16,858.54,780.77)
(7160,499.05,658.72,829.80,712.46)
(7161,620.94,825.95,713.30,778.57)
(7162,630.25,625.55,273.98,926.27)
(7163,735.83,776.02,812.06,830.08)
(7164,698.52,815.03,890.59,750.27)
(7165,474.00,942.75,1094.01,865.60)
(7166,73.48,743.58,940.78,728.62)
(7167,583.10,901.97,732.40,804.76)
(7168,772.22,881.07,1174.80,912.07)
(7169,553.47,793.73,850.66,690.79)
(7170,678.55,329.60,863.67,983.20)
(7171,379.96,816.47,921.14,790.93)
(7172,447.34,984.50,837.92,722.79)
(7173,54.23,711.83,921.78,873.60)
(7174,898.37,836.45,655.90,958.78)
(7175,944.75,752.13,730.92,879.94)
(7176,504.18,813.68,877.28,1002.37)
(7177,264.52,945.33,836.58,715.49)
(7178,848.31,743.49,1059.47,786.03)
(7179,944.74,761.33,852.08,888.94)
(7180,892.03,800.45,0.00,771.63)
(7181,798.05,841.41,663.42,433.86)
(7182,379.91,750.45,1007.40,855.68)
(7183,947.75,1020.49,713.37,859.74)
(7184,454.06,820.87,825.12,760.67)
(7185,589.39,820.58,712.69,875.36)
(7186,976.91,762.48,985.09,799.58)
(7187,641.98,767.91,792.05,886.35)
(7188,934.12,863.89,957.82,818.52)
(7189,875.99,755.29,1019.87,880.31)
(7190,726.52,762.42,936.86,945.95)
(7191,872.04,754.90,711.36,838.77)
(7192,582.84,935.78,1135.44,1225.56)
(7193,934.10,971.29,952.40,769.71)
(7194,849.97,888.29,1071.12,749.41)
(7195,635.39,620.69,803.25,899.58)
(7196,695.18,547.59,677.86,881.34)
(7197,803.12,949.42,1160.51,578.25)
(7198,494.16,730.36,690.69,988.48)
(7199,700.37,763.60,962.65,743.36)
(7200,588.89,667.77,882.35,701.38)
(7201,800.73,1120.39,931.21,943.46)
(7202,812.18,984.66,795.91,740.38)
(7203,771.82,131.24,950.25,941.36)
(7204,894.52,808.69,784.23,943.00)
(7205,504.11,602.38,751.76,937.17)
(7206,746.20,931.59,937.15,976.81)
(7207,427.43,1457.06,558.12,771.02)
(7208,711.88,745.99,1036.06,836.37)
